shannon_canon_pos,shannon_archive_pos
40561.61,21846.47
35057.32,31679.56
16540.06,19793.95
13442.51,28184.24
17125.44,31325.26
38416.49,27763.55
17803.26,28068.38
9289.61,19018.28
28953.46,5857.61
18730.53,40950.4
31201.62,49668.27
19866.38,32402.21
20470.25,25740.75
11609.68,30486.34
14756.02,37420.22
42632.65,19853.94
22775.1,21215.32
35545.83,19852.69
11257.02,33800.13
53203.87,21164.9
13576.08,33049.56
22775.24,21773.9
10551.57,33324.47
14625.33,18658.88
10571.75,36563.43
27573.78,16670.43
14450.5,39232.07
13424.18,26527.75
11610.5,26975.27
18334.72,15824.41
9475.48,17292.7
7020.52,17409.59
14659.12,31860.68
18001.05,18552.61
14435.3,22471.19
13035.62,14019.06
12915.54,6536.64
6865.76,29421.41
12919.07,16090.46
13422.11,37464.59
12756.47,14190.87
13003.94,19699.12
13706.15,27019.48
13107.23,32858.84
15024.31,23287.44
12864.7,32081.5
68979.73,20564.85
13420.33,25383.8
34460.14,34854.45
21339.07,27222.1
12107.82,32746.93
13044.3,21259.06
12505.63,24950.71
12415.64,26812.12
16763.52,21137.95
12398.52,29762.26
10923.64,32934.44
27784.31,17012.58
20356.49,38258.66
33690.95,26643.54
31037.71,27403.89
33744.02,43921.08
13518.63,15770.34
41826.84,17023.9
11009.59,40085.19
20230.63,22681.16
21334.95,18824.65
25986.38,18413.03
12468.74,27374.77
19777.81,24497.3
2716.09,16024.17
18882.74,42883.78
5776.53,35230.26
71682.91,27507.0
34647.3,19013.07
82477.89,10492.81
16007.77,20477.38
22284.31,21984.56
19852.16,16504.66
16885.0,28316.77
12119.9,83100.28
56312.31,29468.24
54301.4,14732.86
19943.39,26217.59
12554.96,25049.49
16021.33,25707.26
25770.9,26450.89
3921.68,35215.55
3918.36,31846.88
18281.61,21916.31
25165.58,26422.0
22549.71,22506.43
24301.23,27039.5
16517.23,29181.5
3418.95,28208.26
32149.79,16174.78
27762.56,16130.01
9829.28,18788.09
13380.7,21333.42
24979.2,41838.4
26075.82,24262.91
14459.45,25255.25
14945.8,25473.19
91305.21,31607.58
12178.43,37106.08
17804.5,29903.99
44170.09,36081.18
19071.67,67085.06
15264.41,62562.57
3823.16,17165.39
29518.37,27009.89
31292.75,30930.76
5561.28,32574.32
50211.79,42081.48
56671.91,19045.21
31019.22,43668.89
13462.03,17630.71
15860.9,21904.59
44131.71,29774.23
13647.4,19930.12
23101.61,28667.76
46420.5,28772.03
31597.85,30048.29
17227.1,29012.47
17428.52,30215.08
18036.92,39260.85
15348.48,46487.14
25606.83,38510.46
19286.38,2558.71
12319.03,28028.85
18925.58,26187.3
18001.61,35990.0
17291.97,48886.95
17187.36,21363.66
15040.96,33141.89
16399.58,28599.7
16585.87,28340.55
21731.2,19220.62
31122.85,21691.73
